,raw,clean,lemmas,color,gender
46,Vermello Men Casual Brown Genuine Leather Belt,vermello men casual brown genuine leather belt,vermello men casual brown genuine leather belt,['brown'],[]
47,HRS CLUB BOY Thigh Pads,hrs club boy thigh pads,hr club boy thigh pad,[],['boy']
48,Ligans NY Men Formal Black Genuine Leather Belt,ligans ny men formal black genuine leather belt,ligan ny men formal black genuine leather belt,['black'],[]
49,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,elegance polyester multicolor abstract eyelet door curtain,elegance polyester multicolor abstract eyelet door curtain,[],[]
50,Liza Women Wedges,liza women wedges,liza woman wedge,[],['woman']
51,HRS ULTIMATE BOY Elbow Pads,hrs ultimate boy elbow pads,hr ultimate boy elbow pad,[],['boy']
52,Sathiyas Cotton Bath Towel,sathiyas cotton bath towel,sathiyas cotton bath towel,[],[]
53,HRS ULTIMATE MEN Chest Pads,hrs ultimate men chest pads,hr ultimate men chest pad,[],[]
54,Eurospa Cotton Terry Face Towel Set,eurospa cotton terry face towel set,eurospa cotton terry face towel set,[],[]
55,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,santosh royal fashion cotton printed king sized double bedsheet,santosh royal fashion cotton printed king sized double bedsheet,[],[]
56,CASEDEAL Microsoft Nokia lumia x2 Back Panel,casedeal microsoft nokia lumia x2 back panel,casedeal microsoft nokia lumia x2 back panel,[],[]
57,Mario Gotze Women's Printed Casual Orange Shirt,mario gotze womens printed casual orange shirt,mario gotze woman printed casual orange shirt,['orange'],['woman']
58,Jaipur Print Cotton Floral King sized Double Bedsheet,jaipur print cotton floral king sized double bedsheet,jaipur print cotton floral king sized double bedsheet,[],[]
59,Shilpi NHSCN003 Coin Bank,shilpi nhscn003 coin bank,shilpi nhscn003 coin bank,[],[]
60,Babeezworld Dungaree Baby Boy's  Combo,babeezworld dungaree baby boys  combo,babeezworld dungaree baby boy combo,[],"['boy', 'baby']"
61,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,redbag eight armed goddess sherawali maa showpiece    108 cm,redbag eight armed goddess sherawali maa showpiece 108 cm,[],[]
62,"Proence Weight Gainers, Mass Gainers",proence weight gainers mass gainers,proence weight gainer mass gainer,[],[]
63,Discountgod Men's Checkered Casual Shirt,discountgod mens checkered casual shirt,discountgod men checkered casual shirt,[],[]
64,Silver Streak Men's Printed Casual Denim Shirt,silver streak mens printed casual denim shirt,silver streak men printed casual denim shirt,['silver'],[]
65,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",cobra paris co6394a1 analog watch   for men boys,cobra paris co6394a1 analog watch for men boy,[],['boy']
66,TEN TEN Women's Black Knee Length Boots Boots,ten ten womens black knee length boots boots,ten ten woman black knee length boot boot,['black'],['woman']
67,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",aries gold g 729 sbk analog watch   for men boys,aries gold g 729 sbk analog watch for men boy,['gold'],['boy']
68,Carlton Boots,carlton boots,carlton boot,[],[]
69,Maserati Time R8851116001 Analog Watch  - For Boys,maserati time r8851116001 analog watch   for boys,maserati time r8851116001 analog watch for boy,[],['boy']
70,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",vizion 8503b1red cold light digital watch   for boys girls,vizion 8503b1red cold light digital watch for boy girl,[],"['girl', 'boy']"
71,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",camerii wm64 elegance analog watch   for men boys,camerii wm64 elegance analog watch for men boy,[],['boy']
72,Reckler Slim Fit Men's Jeans,reckler slim fit mens jeans,reckler slim fit men jean,[],[]
73,Quechua Arpenaz Novadry Boots,quechua arpenaz novadry boots,quechua arpenaz novadry boot,[],[]
74,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",colat colatmw20 sheen analog watch   for men women boys girls,colat colatmw20 sheen analog watch for men woman boy girl,[],"['girl', 'boy', 'woman']"
75,Steppings Trendy Boots,steppings trendy boots,steppings trendy boot,[],[]
76,Rochees RW38 Analog Watch  - For Boys,rochees rw38 analog watch   for boys,rochees rw38 analog watch for boy,[],['boy']
77,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",rorlig rr028 expedition analog watch   for men boys,rorlig rr028 expedition analog watch for men boy,[],['boy']
78,Catwalk Boots,catwalk boots,catwalk boot,[],[]
79,Magnum Footwear Lifestyle,magnum footwear lifestyle,magnum footwear lifestyle,[],[]
80,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,t star ufttsw005bkbr analog watch   for boys,t star ufttsw005bkbr analog watch for boy,[],['boy']
81,Rialto Boots,rialto boots,rialto boot,[],[]
82,Kielz Ladies Boots,kielz ladies boots,kielz lady boot,[],[]
83,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",alfajr wy16b youth digital watch   for men boys,alfajr wy16b youth digital watch for men boy,[],['boy']
84,La Briza Ashley Boots,la briza ashley boots,la briza ashley boot,[],[]
85,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",tag heuer cau1116ba0858 formula 1 analog watch   for boys men,tag heuer cau1116ba0858 formula 1 analog watch for boy men,[],['boy']
86,Salt N Pepper 13-019 Femme Black Boots Boots,salt n pepper 13019 femme black boots boots,salt n pepper 13019 femme black boot boot,['black'],[]
87,Shuz Touch Boots,shuz touch boots,shuz touch boot,[],[]
88,Wrangler Skanders Fit Men's Jeans,wrangler skanders fit mens jeans,wrangler skanders fit men jean,[],[]
89,Salt N Pepper 14-664 Denny Black Boots Boots,salt n pepper 14664 denny black boots boots,salt n pepper 14664 denny black boot boot,['black'],[]
90,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",costa swiss cs2001 analog watch   for boys men,costa swiss cs2001 analog watch for boy men,[],['boy']
91,Crocs Boots,crocs boots,crocs boot,[],[]
92,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",breitling ab011010bb08 131s chronomat 44 analog watch   for boys men,breitling ab011010bb08 131s chronomat 44 analog watch for boy men,[],['boy']
93,Lyc White Casual Boots,lyc white casual boots,lyc white casual boot,['white'],[]
94,Myra Comfortable Boots,myra comfortable boots,myra comfortable boot,[],[]
95,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",calibro sw125 analogdigital watch   for men boys,calibro sw125 analogdigital watch for men boy,[],['boy']
96,Get Glamr Designer Uggy Boots,get glamr designer uggy boots,get glamr designer uggy boot,[],[]
97,Rochees RW50 Analog Watch  - For Boys,rochees rw50 analog watch   for boys,rochees rw50 analog watch for boy,[],['boy']
98,Salt N Pepper 13-516 Greta Red Boots,salt n pepper 13516 greta red boots,salt n pepper 13516 greta red boot,['red'],[]
99,Fluid DMF-002-GR01 Digital Watch  - For Boys,fluid dmf002gr01 digital watch   for boys,fluid dmf002gr01 digital watch for boy,[],['boy']
100,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",rorlig rr030 essentials analog watch   for men boys,rorlig rr030 essential analog watch for men boy,[],['boy']
101,Wrangler Regular Fit Men's Jeans,wrangler regular fit mens jeans,wrangler regular fit men jean,[],[]
102,"Disney DW100230 Digital Watch  - For Boys, Girls",disney dw100230 digital watch   for boys girls,disney dw100230 digital watch for boy girl,[],"['girl', 'boy']"
103,Salt N Pepper 13-167 Marsha Red Boots,salt n pepper 13167 marsha red boots,salt n pepper 13167 marsha red boot,['red'],[]
104,"Cartier W6701005 Analog Watch  - For Boys, Men",cartier w6701005 analog watch   for boys men,cartier w6701005 analog watch for boy men,[],['boy']
105,Bruno Manetti Cannelita Boots,bruno manetti cannelita boots,bruno manetti cannelita boot,[],[]
106,Stylistry Maxis Shde6603brwoboot3104 Boots,stylistry maxis shde6603brwoboot3104 boots,stylistry maxi shde6603brwoboot3104 boot,[],[]
107,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",lois caron lcs4032 analog watch   for boys men,lois caron lcs4032 analog watch for boy men,[],['boy']
108,"Felix Y 39 Analog Watch  - For Boys, Men",felix y 39 analog watch   for boys men,felix y 39 analog watch for boy men,[],['boy']
109,Kielz Boots,kielz boots,kielz boot,[],[]
110,Sakay Country Leather Boots,sakay country leather boots,sakay country leather boot,[],[]
111,La Briza Black Boots,la briza black boots,la briza black boot,['black'],[]
112,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",kool kidz dmk012qu02 analog watch   for girls boys,kool kidz dmk012qu02 analog watch for girl boy,[],"['girl', 'boy']"
113,"Franck Bella FB0128B Analog Watch  - For Men, Boys",franck bella fb0128b analog watch   for men boys,franck bella fb0128b analog watch for men boy,[],['boy']
114,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",kool kidz dmk003yl 03 analog watch   for girls boys,kool kidz dmk003yl 03 analog watch for girl boy,[],"['girl', 'boy']"
115,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",vizion 85026black sports series digital watch   for boys girls,vizion 85026black sport series digital watch for boy girl,[],"['girl', 'boy']"
116,Vencer Stella 7lyt1011 Digital Watch  - For Boys,vencer stella 7lyt1011 digital watch   for boys,vencer stella 7lyt1011 digital watch for boy,[],['boy']
117,La Briza Mile Boots,la briza mile boots,la briza mile boot,[],[]
118,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",casela casw13 basic analog watch   for boys girls,casela casw13 basic analog watch for boy girl,[],"['girl', 'boy']"
119,Sneha Unique Boots,sneha unique boots,sneha unique boot,[],[]
120,Timer TC_-_690143 Analog Watch  - For Boys,timer tc690143 analog watch   for boys,timer tc690143 analog watch for boy,[],['boy']
121,NE Regular Fit Men's Jeans,ne regular fit mens jeans,ne regular fit men jean,[],[]
122,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",colat colatm08 roman numerals analog watch   for men boys,colat colatm08 roman numeral analog watch for men boy,[],['boy']
123,Belle Gambe Boots,belle gambe boots,belle gambe boot,[],[]
124,"Titan 1639SL03 Analog Watch  - For Boys, Men",titan 1639sl03 analog watch   for boys men,titan 1639sl03 analog watch for boy men,[],['boy']
125,Selfie Boots,selfie boots,selfie boot,[],[]
126,Clincher Semonday Boots,clincher semonday boots,clincher semonday boot,[],[]
127,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls,srushti art jewelry megnetledsportblackred1 digital watch for men woman boy girl,[],"['girl', 'boy', 'woman']"
128,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",qq vq13008 analog watch   for girls boys,qq vq13008 analog watch for girl boy,[],"['girl', 'boy']"
129,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",escort e1700906blk analog watch   for men boys,escort e1700906blk analog watch for men boy,[],['boy']
130,Roxy Boots,roxy boots,roxy boot,[],[]
131,Lee Men's Jeans,lee mens jeans,lee men jean,[],[]
132,Bruno Manetti 676 Boots,bruno manetti 676 boots,bruno manetti 676 boot,[],[]
133,"Estilo 1056 Analog Watch  - For Boys, Men",estilo 1056 analog watch   for boys men,estilo 1056 analog watch for boy men,[],['boy']
134,Jack klein BlackLed Digital Watch  - For Boys,jack klein blackled digital watch   for boys,jack klein blackled digital watch for boy,[],['boy']
135,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",north moon iw005fk silicone ion digital watch   for boys girls women,north moon iw005fk silicone ion digital watch for boy girl woman,[],"['girl', 'boy', 'woman']"
136,Foot Candy Boots,foot candy boots,foot candy boot,[],[]
137,Credos Boots,credos boots,credo boot,[],[]
138,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",rich club apple shaped led digital watch   for boys girls,rich club apple shaped led digital watch for boy girl,[],"['girl', 'boy']"
139,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",skmei ad1031black formal analogdigital watch   for men boys,skmei ad1031black formal analogdigital watch for men boy,[],['boy']
140,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",kms ironmanlookledblack11 digital watch   for men women girls boys,km ironmanlookledblack11 digital watch for men woman girl boy,[],"['girl', 'boy', 'woman']"
141,Anand Archies Boots,anand archies boots,anand archies boot,[],[]
142,Magnum Footwear Lifestyle Boots,magnum footwear lifestyle boots,magnum footwear lifestyle boot,[],[]
143,Swag 670038 Analog Watch  - For Boys,swag 670038 analog watch   for boys,swag 670038 analog watch for boy,[],['boy']
144,Bonzer Boots,bonzer boots,bonzer boot,[],[]
145,Roadster Skinny Fit Fit Men's Jeans,roadster skinny fit fit mens jeans,roadster skinny fit fit men jean,[],[]
146,Selfie Black Denim Boots,selfie black denim boots,selfie black denim boot,['black'],[]
147,Steppings Boots Boots,steppings boots boots,steppings boot boot,[],[]
148,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",qq lla2213 digital watch   for boys girls,qq lla2213 digital watch for boy girl,[],"['girl', 'boy']"
149,Belle Gambe Winter Boots,belle gambe winter boots,belle gambe winter boot,[],[]
150,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",hala red in black trendy digital digital watch   for boys girls men,hala red in black trendy digital digital watch for boy girl men,"['black', 'red']","['girl', 'boy']"
151,"Franck Bella FB74C Analog Watch  - For Boys, Men",franck bella fb74c analog watch   for boys men,franck bella fb74c analog watch for boy men,[],['boy']
152,Carlton London Boots,carlton london boots,carlton london boot,[],[]
153,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,ridas aplledblack apple shape digital watch   for boys,ridas aplledblack apple shape digital watch for boy,[],['boy']
154,La Briza Andria Boots,la briza andria boots,la briza andria boot,[],[]
155,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",skmei 1070blk sports analogdigital watch   for men boys,skmei 1070blk sport analogdigital watch for men boy,[],['boy']
156,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",skmei ad1057darkorange sports analogdigital watch   for men boys,skmei ad1057darkorange sport analogdigital watch for men boy,[],['boy']
157,Urban Country Ladies Boots,urban country ladies boots,urban country lady boot,[],[]
158,Now SP-ETHNIC Analog Watch  - For Boys,now spethnic analog watch   for boys,now spethnic analog watch for boy,[],['boy']
159,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",disney msfr19001b analog watch   for boys girls,disney msfr19001b analog watch for boy girl,[],"['girl', 'boy']"
160,Get Glamr Designer Yuvu Boots,get glamr designer yuvu boots,get glamr designer yuvu boot,[],[]
161,Remson India Boots,remson india boots,remson india boot,[],[]
162,Jacques Farel KWD2324 Analog Watch  - For Boys,jacques farel kwd2324 analog watch   for boys,jacques farel kwd2324 analog watch for boy,[],['boy']
163,Salt N Pepper 13-455 Pisa Black Boots,salt n pepper 13455 pisa black boots,salt n pepper 13455 pisa black boot,['black'],[]
164,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",oxter chrono blue italia analog watch   for men boys,oxter chrono blue italia analog watch for men boy,['blue'],['boy']
165,Klaur Melbourne Boots,klaur melbourne boots,klaur melbourne boot,[],[]
166,"Positif Pfbk612 Analog Watch  - For Men, Boys",positif pfbk612 analog watch   for men boys,positif pfbk612 analog watch for men boy,[],['boy']
167,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",dsigner 688rgm brn analog watch   for men boys,dsigner 688rgm brn analog watch for men boy,[],['boy']
168,Salt N Pepper 13-019 Femme Taupe Boots Boots,salt n pepper 13019 femme taupe boots boots,salt n pepper 13019 femme taupe boot boot,[],[]
169,"Franck Bella FB127A Analog Watch  - For Boys, Men",franck bella fb127a analog watch   for boys men,franck bella fb127a analog watch for boy men,[],['boy']
170,Get Glamr Stylish Boots,get glamr stylish boots,get glamr stylish boot,[],[]
171,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",felix 3541 ws metal analog watch   for boys girls,felix 3541 w metal analog watch for boy girl,[],"['girl', 'boy']"
172,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",skmei dg0939red sports digital watch   for men boys,skmei dg0939red sport digital watch for men boy,[],['boy']
173,Do Bhai Boots,do bhai boots,do bhai boot,[],[]
174,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",vizion 85024blue sports series digital watch   for boys girls,vizion 85024blue sport series digital watch for boy girl,[],"['girl', 'boy']"
175,Sam Stefy Boots,sam stefy boots,sam stefy boot,[],[]
176,TEN TEN Women's Tan Mid Length Boots Boots,ten ten womens tan mid length boots boots,ten ten woman tan mid length boot boot,['tan'],['woman']
177,Get Glamr Dazzle Boots,get glamr dazzle boots,get glamr dazzle boot,[],[]
178,"Jack Klein Goldjack Analog Watch  - For Boys, Men",jack klein goldjack analog watch   for boys men,jack klein goldjack analog watch for boy men,[],['boy']
179,Dearfoams Boots,dearfoams boots,dearfoams boot,[],[]
180,"fastrack 38015PL01 Analog Watch  - For Men, Boys",fastrack 38015pl01 analog watch   for men boys,fastrack 38015pl01 analog watch for men boy,[],['boy']
181,"A Avon PK_504 Analog Watch  - For Men, Boys",a avon pk504 analog watch   for men boys,a avon pk504 analog watch for men boy,[],['boy']
182,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",franck bella fb0122dd analog watch   for men boys,franck bella fb0122dd analog watch for men boy,[],['boy']
183,Salt N Pepper 12-298 Taupe Boots,salt n pepper 12298 taupe boots,salt n pepper 12298 taupe boot,[],[]
184,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",alfajr wq18 qibla compass digital watch   for men boys girls,alfajr wq18 qibla compass digital watch for men boy girl,[],"['girl', 'boy']"
185,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",sale funda sfgfu694 analog watch   for boys men,sale funda sfgfu694 analog watch for boy men,[],['boy']
186,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",britex bt2050bt3101 he  she analog watch   for couple women men boys girls,britex bt2050bt3101 he she analog watch for couple woman men boy girl,[],"['girl', 'boy', 'woman']"
187,TSG Kelz Boots,tsg kelz boots,tsg kelz boot,[],[]
188,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",3wish curblue silver blue 8023 analog watch   for boys men,3wish curblue silver blue 8023 analog watch for boy men,"['silver', 'blue']",['boy']
189,J.D.H. 111-222 Boots,jdh 111222 boots,jdh 111222 boot,[],[]
190,"Disney 98189 Analog Watch  - For Boys, Girls",disney 98189 analog watch   for boys girls,disney 98189 analog watch for boy girl,[],"['girl', 'boy']"
191,Get Glamr Designer Snowra Boots,get glamr designer snowra boots,get glamr designer snowra boot,[],[]
192,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",lenco dcompass2010 quazi analogdigital watch   for men boys,lenco dcompass2010 quazi analogdigital watch for men boy,[],['boy']
193,Pinza Black Christmas Boots,pinza black christmas boots,pinza black christmas boot,['black'],[]
194,Salt N Pepper 13-552 Rebacca Almond Boots,salt n pepper 13552 rebacca almond boots,salt n pepper 13552 rebacca almond boot,[],[]
195,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",rockstar r056 chrono analog watch   for men boys,rockstar r056 chrono analog watch for men boy,[],['boy']
196,Disney DW100405 Digital Watch  - For Boys,disney dw100405 digital watch   for boys,disney dw100405 digital watch for boy,[],['boy']
197,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",vizion 85027purple sports series digital watch   for boys girls,vizion 85027purple sport series digital watch for boy girl,[],"['girl', 'boy']"
198,"Disney LP-1008 (Yellow) Analog Watch  - For Boys, Girls",disney lp1008 yellow analog watch   for boys girls,disney lp1008 yellow analog watch for boy girl,['yellow'],"['girl', 'boy']"
199,"Elantra S 10 Analog Watch  - For Boys, Men",elantra s 10 analog watch   for boys men,elantra s 10 analog watch for boy men,[],['boy']
200,Willy Winkies Black Boots,willy winkies black boots,willy winkies black boot,['black'],[]
201,"Marvel DW100243 Digital Watch  - For Boys, Girls",marvel dw100243 digital watch   for boys girls,marvel dw100243 digital watch for boy girl,[],"['girl', 'boy']"
202,DJH Boots,djh boots,djh boot,[],[]
203,"Franck Bella FB123D Analog Watch  - For Men, Boys",franck bella fb123d analog watch   for men boys,franck bella fb123d analog watch for men boy,[],['boy']
204,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",skmei dg1010blackgold sports digital watch   for men boys women girls,skmei dg1010blackgold sport digital watch for men boy woman girl,[],"['girl', 'boy', 'woman']"
205,Pinza Blue Cowboy Boots,pinza blue cowboy boots,pinza blue cowboy boot,['blue'],[]
206,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",eleganzza denim denim analog watch   for men women boys girls couple,eleganzza denim denim analog watch for men woman boy girl couple,[],"['girl', 'boy', 'woman']"
207,CatBird Boots,catbird boots,catbird boot,[],[]
208,Bruno Manetti 664 Boots,bruno manetti 664 boots,bruno manetti 664 boot,[],[]
209,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",lenco bdblue tango analog watch   for men boys,lenco bdblue tango analog watch for men boy,[],['boy']
210,Get Glamr Designer Kuyal Boots,get glamr designer kuyal boots,get glamr designer kuyal boot,[],[]
211,"Zoop C4040PP03 Digital Watch  - For Boys, Girls",zoop c4040pp03 digital watch   for boys girls,zoop c4040pp03 digital watch for boy girl,[],"['girl', 'boy']"
212,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",shoppingekart ds0222 rewin pack of 3 digital watch   for boys girls couple men,shoppingekart ds0222 rewin pack of 3 digital watch for boy girl couple men,[],"['girl', 'boy']"
213,Stylistry Maxis Sa3228-25relong1712 Boots,stylistry maxis sa322825relong1712 boots,stylistry maxi sa322825relong1712 boot,[],[]
214,Salt N Pepper 14-475 Dorthea Almond Boots Boots,salt n pepper 14475 dorthea almond boots boots,salt n pepper 14475 dorthea almond boot boot,[],[]
215,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys",dsigner 681gmwht analog watch   for men boys,dsigner 681gmwht analog watch for men boy,[],['boy']
