,Unnamed: 0,raw,clean,lemmas,color,gender,keywords,topic_number,new_topics,topic_label
36,36,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,skayvon summersible single phase pump controller wired sensor security system,skayvon summersible single phase pump controller wired sensor security system,[],[],summersible single security system skayvon summersible ,38,24,unknown
37,37,MASARA Solid Women's Straight Kurta,masara solid womens straight kurta,masara solid woman straight kurta,[],['woman'],solid woman straight kurta masara solid ,-1,-1,unknown
38,38,Rapter BNC-047 BNC Wire Connector,rapter bnc047 bnc wire connector,rapter bnc047 bnc wire connector,[],[],wire connector bnc wire rapter ,-1,-1,unknown
39,39,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,skayvon submersibble three phase pump controller wired sensor security system,skayvon submersibble three phase pump controller wired sensor security system,[],[],phase pump security system skayvon submersibble ,-1,-1,unknown
40,40,Behringer Xenyx 502 Analog Sound Mixer,behringer xenyx 502 analog sound mixer,behringer xenyx 502 analog sound mixer,[],[],sound mixer analog sound behringer xenyx ,-1,-1,unknown
41,41,Roadster Men's Zipper Solid Cardigan,roadster mens zipper solid cardigan,roadster men zipper solid cardigan,[],[],men zipper solid cardigan roadster men ,-1,-1,unknown
42,42,Noor Embroidered Women's Straight Kurta,noor embroidered womens straight kurta,noor embroidered woman straight kurta,[],['woman'],embroidered woman straight kurta noor embroidered ,208,22,clothing
43,43,Libas Printed Women's A-line Kurta,libas printed womens aline kurta,libas printed woman aline kurta,[],['woman'],printed woman aline kurta libas printed ,9,22,clothing
44,44,Libas Printed Women's Anarkali Kurta,libas printed womens anarkali kurta,libas printed woman anarkali kurta,[],['woman'],printed woman anarkali kurta libas printed ,9,22,clothing
45,45,HRS ULTIMATE BOY Chest Pads,hrs ultimate boy chest pads,hr ultimate boy chest pad,[],['boy'],boy chest ultimate boy chest pad ,62,21,watches
46,46,Vermello Men Casual Brown Genuine Leather Belt,vermello men casual brown genuine leather belt,vermello men casual brown genuine leather belt,['brown'],[],men casual leather belt vermello men ,243,31,mens clothing
47,47,HRS CLUB BOY Thigh Pads,hrs club boy thigh pads,hr club boy thigh pad,[],['boy'],boy thigh club boy thigh pad ,62,21,watches
48,48,Ligans NY Men Formal Black Genuine Leather Belt,ligans ny men formal black genuine leather belt,ligan ny men formal black genuine leather belt,['black'],[],formal black men formal leather belt ,243,31,mens clothing
49,49,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,elegance polyester multicolor abstract eyelet door curtain,elegance polyester multicolor abstract eyelet door curtain,[],[],polyester multicolor door curtain elegance polyester ,65,3,home goods
50,50,Liza Women Wedges,liza women wedges,liza woman wedge,[],['woman'],liza woman wedge liza woman ,7,13,womens footwear
51,51,HRS ULTIMATE BOY Elbow Pads,hrs ultimate boy elbow pads,hr ultimate boy elbow pad,[],['boy'],boy elbow ultimate boy elbow pad ,-1,-1,unknown
52,52,Sathiyas Cotton Bath Towel,sathiyas cotton bath towel,sathiyas cotton bath towel,[],[],cotton bath bath towel sathiyas cotton ,26,3,home goods
53,53,HRS ULTIMATE MEN Chest Pads,hrs ultimate men chest pads,hr ultimate men chest pad,[],[],men chest ultimate men chest pad ,-1,-1,unknown
54,54,Eurospa Cotton Terry Face Towel Set,eurospa cotton terry face towel set,eurospa cotton terry face towel set,[],[],cotton terry towel set eurospa cotton ,26,3,home goods
55,55,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,santosh royal fashion cotton printed king sized double bedsheet,santosh royal fashion cotton printed king sized double bedsheet,[],[],royal fashion double bedsheet santosh royal ,-1,-1,unknown
56,56,CASEDEAL Microsoft Nokia lumia x2 Back Panel,casedeal microsoft nokia lumia x2 back panel,casedeal microsoft nokia lumia x2 back panel,[],[],nokia lumia casedeal microsoft back panel ,-1,-1,unknown
57,57,Mario Gotze Women's Printed Casual Orange Shirt,mario gotze womens printed casual orange shirt,mario gotze woman printed casual orange shirt,['orange'],['woman'],gotze woman orange shirt mario gotze ,6,38,clothing
58,58,Jaipur Print Cotton Floral King sized Double Bedsheet,jaipur print cotton floral king sized double bedsheet,jaipur print cotton floral king sized double bedsheet,[],[],print cotton double bedsheet jaipur print ,-1,-1,unknown
59,59,Shilpi NHSCN003 Coin Bank,shilpi nhscn003 coin bank,shilpi nhscn003 coin bank,[],[],coin shilpi coin bank ,32,11,jewelry
60,60,Babeezworld Dungaree Baby Boy's  Combo,babeezworld dungaree baby boys  combo,babeezworld dungaree baby boy combo,[],"['boy', 'baby']",dungaree baby boy combo babeezworld dungaree ,105,-1,unknown
61,61,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,redbag eight armed goddess sherawali maa showpiece    108 cm,redbag eight armed goddess sherawali maa showpiece 108 cm,[],[],goddess sherawali armed goddess maa showpiece ,-1,-1,unknown
62,62,"Proence Weight Gainers, Mass Gainers",proence weight gainers mass gainers,proence weight gainer mass gainer,[],[],gainer mass weight gainer proence weight ,-1,-1,unknown
63,63,Discountgod Men's Checkered Casual Shirt,discountgod mens checkered casual shirt,discountgod men checkered casual shirt,[],[],men checkered casual shirt discountgod men ,8,29,mens clothing
64,64,Silver Streak Men's Printed Casual Denim Shirt,silver streak mens printed casual denim shirt,silver streak men printed casual denim shirt,['silver'],[],streak men denim shirt silver streak ,-1,-1,unknown
65,65,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",cobra paris co6394a1 analog watch   for men boys,cobra paris co6394a1 analog watch for men boy,[],['boy'],men boy analog watch cobra paris ,139,21,watches
66,66,TEN TEN Women's Black Knee Length Boots Boots,ten ten womens black knee length boots boots,ten ten woman black knee length boot boot,['black'],['woman'],knee length black knee woman black ,16,5,womens clothing
67,67,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",aries gold g 729 sbk analog watch   for men boys,aries gold g 729 sbk analog watch for men boy,['gold'],['boy'],men boy sbk analog aries gold ,144,21,watches
68,68,Carlton Boots,carlton boots,carlton boot,[],[],boot carlton carlton boot ,21,6,footwear
69,69,Maserati Time R8851116001 Analog Watch  - For Boys,maserati time r8851116001 analog watch   for boys,maserati time r8851116001 analog watch for boy,[],['boy'],maserati analog watch maserati time ,66,4,watch
70,70,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",vizion 8503b1red cold light digital watch   for boys girls,vizion 8503b1red cold light digital watch for boy girl,[],"['girl', 'boy']",boy girl cold light vizion ,-1,-1,unknown
71,71,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",camerii wm64 elegance analog watch   for men boys,camerii wm64 elegance analog watch for men boy,[],['boy'],men boy elegance analog camerii ,144,21,watches
72,72,Reckler Slim Fit Men's Jeans,reckler slim fit mens jeans,reckler slim fit men jean,[],[],slim fit men jean reckler slim ,54,31,mens clothing
73,73,Quechua Arpenaz Novadry Boots,quechua arpenaz novadry boots,quechua arpenaz novadry boot,[],[],arpenaz novadry novadry boot quechua arpenaz ,21,6,footwear
74,74,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",colat colatmw20 sheen analog watch   for men women boys girls,colat colatmw20 sheen analog watch for men woman boy girl,[],"['girl', 'boy', 'woman']",boy girl sheen analog colat ,161,21,watches
75,75,Steppings Trendy Boots,steppings trendy boots,steppings trendy boot,[],[],steppings trendy boot steppings trendy ,21,6,footwear
76,76,Rochees RW38 Analog Watch  - For Boys,rochees rw38 analog watch   for boys,rochees rw38 analog watch for boy,[],['boy'],analog analog watch rochees ,24,4,watch
77,77,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",rorlig rr028 expedition analog watch   for men boys,rorlig rr028 expedition analog watch for men boy,[],['boy'],men boy expedition analog rorlig ,144,21,watches
78,78,Catwalk Boots,catwalk boots,catwalk boot,[],[],boot catwalk catwalk boot ,21,6,footwear
79,79,Magnum Footwear Lifestyle,magnum footwear lifestyle,magnum footwear lifestyle,[],[],magnum footwear lifestyle magnum footwear ,59,6,footwear
80,80,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,t star ufttsw005bkbr analog watch   for boys,t star ufttsw005bkbr analog watch for boy,[],['boy'],analog star analog watch ,-1,-1,unknown
81,81,Rialto Boots,rialto boots,rialto boot,[],[],boot rialto rialto boot ,21,6,footwear
82,82,Kielz Ladies Boots,kielz ladies boots,kielz lady boot,[],[],kielz lady boot kielz lady ,-1,-1,unknown
83,83,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",alfajr wy16b youth digital watch   for men boys,alfajr wy16b youth digital watch for men boy,[],['boy'],men boy youth digital alfajr ,144,21,watches
84,84,La Briza Ashley Boots,la briza ashley boots,la briza ashley boot,[],[],boot briza ashley ashley boot ,52,18,womens clothing
85,85,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",tag heuer cau1116ba0858 formula 1 analog watch   for boys men,tag heuer cau1116ba0858 formula 1 analog watch for boy men,[],['boy'],analog watch formula tag heuer ,24,4,watch
86,86,Salt N Pepper 13-019 Femme Black Boots Boots,salt n pepper 13019 femme black boots boots,salt n pepper 13019 femme black boot boot,['black'],[],boot boot black boot femme black ,21,6,footwear
87,87,Shuz Touch Boots,shuz touch boots,shuz touch boot,[],[],shuz touch boot shuz touch ,21,6,footwear
88,88,Wrangler Skanders Fit Men's Jeans,wrangler skanders fit mens jeans,wrangler skanders fit men jean,[],[],skanders fit men jean wrangler skanders ,94,6,footwear
89,89,Salt N Pepper 14-664 Denny Black Boots Boots,salt n pepper 14664 denny black boots boots,salt n pepper 14664 denny black boot boot,['black'],[],boot boot black boot denny black ,21,6,footwear
90,90,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",costa swiss cs2001 analog watch   for boys men,costa swiss cs2001 analog watch for boy men,[],['boy'],boy men analog watch costa swiss ,139,21,watches
91,91,Crocs Boots,crocs boots,crocs boot,[],[],boot crocs crocs boot ,21,6,footwear
92,92,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",breitling ab011010bb08 131s chronomat 44 analog watch   for boys men,breitling ab011010bb08 131s chronomat 44 analog watch for boy men,[],['boy'],analog watch chronomat breitling ,24,4,watch
93,93,Lyc White Casual Boots,lyc white casual boots,lyc white casual boot,['white'],[],white casual casual boot lyc white ,-1,-1,unknown
94,94,Myra Comfortable Boots,myra comfortable boots,myra comfortable boot,[],[],myra comfortable boot myra comfortable ,-1,-1,unknown
95,95,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",calibro sw125 analogdigital watch   for men boys,calibro sw125 analogdigital watch for men boy,[],['boy'],men boy analogdigital watch calibro ,139,21,watches
96,96,Get Glamr Designer Uggy Boots,get glamr designer uggy boots,get glamr designer uggy boot,[],[],designer uggy glamr designer uggy boot ,21,6,footwear
97,97,Rochees RW50 Analog Watch  - For Boys,rochees rw50 analog watch   for boys,rochees rw50 analog watch for boy,[],['boy'],analog analog watch rochees ,24,4,watch
98,98,Salt N Pepper 13-516 Greta Red Boots,salt n pepper 13516 greta red boots,salt n pepper 13516 greta red boot,['red'],[],salt red boot greta red ,21,6,footwear
99,99,Fluid DMF-002-GR01 Digital Watch  - For Boys,fluid dmf002gr01 digital watch   for boys,fluid dmf002gr01 digital watch for boy,[],['boy'],digital digital watch fluid ,-1,-1,unknown
100,100,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",rorlig rr030 essentials analog watch   for men boys,rorlig rr030 essential analog watch for men boy,[],['boy'],men boy essential analog rorlig ,144,21,watches
101,101,Wrangler Regular Fit Men's Jeans,wrangler regular fit mens jeans,wrangler regular fit men jean,[],[],regular fit men jean wrangler regular ,203,6,footwear
102,102,"Disney DW100230 Digital Watch  - For Boys, Girls",disney dw100230 digital watch   for boys girls,disney dw100230 digital watch for boy girl,[],"['girl', 'boy']",boy girl digital watch disney ,161,21,watches
103,103,Salt N Pepper 13-167 Marsha Red Boots,salt n pepper 13167 marsha red boots,salt n pepper 13167 marsha red boot,['red'],[],salt red boot marsha red ,21,6,footwear
104,104,"Cartier W6701005 Analog Watch  - For Boys, Men",cartier w6701005 analog watch   for boys men,cartier w6701005 analog watch for boy men,[],['boy'],boy men analog watch cartier ,139,21,watches
105,105,Bruno Manetti Cannelita Boots,bruno manetti cannelita boots,bruno manetti cannelita boot,[],[],manetti cannelita cannelita boot bruno manetti ,-1,-1,unknown
106,106,Stylistry Maxis Shde6603brwoboot3104 Boots,stylistry maxis shde6603brwoboot3104 boots,stylistry maxi shde6603brwoboot3104 boot,[],[],stylistry boot stylistry maxi ,21,6,footwear
107,107,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",lois caron lcs4032 analog watch   for boys men,lois caron lcs4032 analog watch for boy men,[],['boy'],boy men analog watch lois caron ,139,21,watches
108,108,"Felix Y 39 Analog Watch  - For Boys, Men",felix y 39 analog watch   for boys men,felix y 39 analog watch for boy men,[],['boy'],felix boy men analog watch ,139,21,watches
109,109,Kielz Boots,kielz boots,kielz boot,[],[],boot kielz kielz boot ,21,6,footwear
110,110,Sakay Country Leather Boots,sakay country leather boots,sakay country leather boot,[],[],country leather leather boot sakay country ,23,14,womens footwear
111,111,La Briza Black Boots,la briza black boots,la briza black boot,['black'],[],boot briza black black boot ,21,6,footwear
112,112,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",kool kidz dmk012qu02 analog watch   for girls boys,kool kidz dmk012qu02 analog watch for girl boy,[],"['girl', 'boy']",girl boy analog watch kool kidz ,161,21,watches
113,113,"Franck Bella FB0128B Analog Watch  - For Men, Boys",franck bella fb0128b analog watch   for men boys,franck bella fb0128b analog watch for men boy,[],['boy'],men boy analog watch franck bella ,139,21,watches
114,114,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",kool kidz dmk003yl 03 analog watch   for girls boys,kool kidz dmk003yl 03 analog watch for girl boy,[],"['girl', 'boy']",girl boy analog watch kool kidz ,161,21,watches
115,115,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",vizion 85026black sports series digital watch   for boys girls,vizion 85026black sport series digital watch for boy girl,[],"['girl', 'boy']",boy girl sport series vizion ,-1,-1,unknown
116,116,Vencer Stella 7lyt1011 Digital Watch  - For Boys,vencer stella 7lyt1011 digital watch   for boys,vencer stella 7lyt1011 digital watch for boy,[],['boy'],vencer digital watch vencer stella ,-1,-1,unknown
117,117,La Briza Mile Boots,la briza mile boots,la briza mile boot,[],[],boot briza mile mile boot ,21,6,footwear
118,118,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",casela casw13 basic analog watch   for boys girls,casela casw13 basic analog watch for boy girl,[],"['girl', 'boy']",boy girl basic analog casela ,161,21,watches
119,119,Sneha Unique Boots,sneha unique boots,sneha unique boot,[],[],sneha unique boot sneha unique ,21,6,footwear
120,120,Timer TC_-_690143 Analog Watch  - For Boys,timer tc690143 analog watch   for boys,timer tc690143 analog watch for boy,[],['boy'],analog analog watch timer ,66,4,watch
121,121,NE Regular Fit Men's Jeans,ne regular fit mens jeans,ne regular fit men jean,[],[],fit men regular fit men jean ,-1,-1,unknown
122,122,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",colat colatm08 roman numerals analog watch   for men boys,colat colatm08 roman numeral analog watch for men boy,[],['boy'],men boy roman numeral colat ,144,21,watches
123,123,Belle Gambe Boots,belle gambe boots,belle gambe boot,[],[],belle gambe boot belle gambe ,21,6,footwear
124,124,"Titan 1639SL03 Analog Watch  - For Boys, Men",titan 1639sl03 analog watch   for boys men,titan 1639sl03 analog watch for boy men,[],['boy'],boy men analog watch titan ,139,21,watches
125,125,Selfie Boots,selfie boots,selfie boot,[],[],boot selfie selfie boot ,21,6,footwear
126,126,Clincher Semonday Boots,clincher semonday boots,clincher semonday boot,[],[],clincher semonday boot clincher semonday ,-1,-1,unknown
127,127,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls,srushti art jewelry megnetledsportblackred1 digital watch for men woman boy girl,[],"['girl', 'boy', 'woman']",digital watch art jewelry srushti art ,19,0,jewelry
128,128,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",qq vq13008 analog watch   for girls boys,qq vq13008 analog watch for girl boy,[],"['girl', 'boy']",analog girl boy analog watch ,-1,-1,unknown
129,129,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",escort e1700906blk analog watch   for men boys,escort e1700906blk analog watch for men boy,[],['boy'],men boy analog watch escort ,139,21,watches
130,130,Roxy Boots,roxy boots,roxy boot,[],[],boot roxy roxy boot ,21,6,footwear
131,131,Lee Men's Jeans,lee mens jeans,lee men jean,[],[],lee men jean lee men ,8,29,mens clothing
132,132,Bruno Manetti 676 Boots,bruno manetti 676 boots,bruno manetti 676 boot,[],[],bruno boot bruno manetti ,-1,-1,unknown
133,133,"Estilo 1056 Analog Watch  - For Boys, Men",estilo 1056 analog watch   for boys men,estilo 1056 analog watch for boy men,[],['boy'],boy men analog watch estilo ,139,21,watches
134,134,Jack klein BlackLed Digital Watch  - For Boys,jack klein blackled digital watch   for boys,jack klein blackled digital watch for boy,[],['boy'],blackled digital klein blackled jack klein ,-1,-1,unknown
135,135,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",north moon iw005fk silicone ion digital watch   for boys girls women,north moon iw005fk silicone ion digital watch for boy girl woman,[],"['girl', 'boy', 'woman']",girl woman silicone ion north moon ,60,13,womens footwear
136,136,Foot Candy Boots,foot candy boots,foot candy boot,[],[],foot candy boot foot candy ,21,6,footwear
137,137,Credos Boots,credos boots,credo boot,[],[],boot credo credo boot ,21,6,footwear
138,138,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",rich club apple shaped led digital watch   for boys girls,rich club apple shaped led digital watch for boy girl,[],"['girl', 'boy']",club apple boy girl rich club ,-1,-1,unknown
139,139,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",skmei ad1031black formal analogdigital watch   for men boys,skmei ad1031black formal analogdigital watch for men boy,[],['boy'],men boy formal analogdigital skmei ,144,21,watches
140,140,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",kms ironmanlookledblack11 digital watch   for men women girls boys,km ironmanlookledblack11 digital watch for men woman girl boy,[],"['girl', 'boy', 'woman']",men woman girl boy digital watch ,-1,-1,unknown
141,141,Anand Archies Boots,anand archies boots,anand archies boot,[],[],anand archies boot anand archies ,-1,-1,unknown
142,142,Magnum Footwear Lifestyle Boots,magnum footwear lifestyle boots,magnum footwear lifestyle boot,[],[],footwear lifestyle lifestyle boot magnum footwear ,59,6,footwear
143,143,Swag 670038 Analog Watch  - For Boys,swag 670038 analog watch   for boys,swag 670038 analog watch for boy,[],['boy'],analog analog watch swag ,-1,-1,unknown
144,144,Bonzer Boots,bonzer boots,bonzer boot,[],[],boot bonzer bonzer boot ,21,6,footwear
145,145,Roadster Skinny Fit Fit Men's Jeans,roadster skinny fit fit mens jeans,roadster skinny fit fit men jean,[],[],skinny fit men jean roadster skinny ,54,31,mens clothing
146,146,Selfie Black Denim Boots,selfie black denim boots,selfie black denim boot,['black'],[],black denim denim boot selfie black ,21,6,footwear
147,147,Steppings Boots Boots,steppings boots boots,steppings boot boot,[],[],steppings boot boot steppings boot ,21,6,footwear
148,148,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",qq lla2213 digital watch   for boys girls,qq lla2213 digital watch for boy girl,[],"['girl', 'boy']",digital boy girl digital watch ,161,21,watches
149,149,Belle Gambe Winter Boots,belle gambe winter boots,belle gambe winter boot,[],[],gambe winter winter boot belle gambe ,21,6,footwear
150,150,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",hala red in black trendy digital digital watch   for boys girls men,hala red in black trendy digital digital watch for boy girl men,"['black', 'red']","['girl', 'boy']",black trendy girl men hala red ,282,14,womens footwear
151,151,"Franck Bella FB74C Analog Watch  - For Boys, Men",franck bella fb74c analog watch   for boys men,franck bella fb74c analog watch for boy men,[],['boy'],boy men analog watch franck bella ,139,21,watches
152,152,Carlton London Boots,carlton london boots,carlton london boot,[],[],carlton london boot carlton london ,-1,-1,unknown
153,153,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,ridas aplledblack apple shape digital watch   for boys,ridas aplledblack apple shape digital watch for boy,[],['boy'],apple shape aplledblack apple ridas aplledblack ,277,44,electronics
154,154,La Briza Andria Boots,la briza andria boots,la briza andria boot,[],[],boot briza andria andria boot ,21,6,footwear
155,155,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",skmei 1070blk sports analogdigital watch   for men boys,skmei 1070blk sport analogdigital watch for men boy,[],['boy'],men boy sport analogdigital skmei ,144,21,watches
156,156,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",skmei ad1057darkorange sports analogdigital watch   for men boys,skmei ad1057darkorange sport analogdigital watch for men boy,[],['boy'],men boy sport analogdigital skmei ,144,21,watches
157,157,Urban Country Ladies Boots,urban country ladies boots,urban country lady boot,[],[],country lady lady boot urban country ,-1,-1,unknown
